id,nom,insee,adresse,url,type_usagers,gratuit,nb_places,nb_pr,nb_pmr,nb_voitures_electriques,nb_velo,nb_2r_el,nb_autopartage,nb_2_rm,nb_covoit,hauteur_max,num_siret,Xlong,Ylat,tarif_pmr,tarif_1h,tarif_2h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,info,id_source
33075-P-006,Front Du Medoc - Metpark,33063,Rue Robert Lateulade 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,791,0,12,8,8,0,0,65,0,180,45333506900010,-0.587818,44.838921,,2.40,5.20,7.30,9.30,19.00,,,ouvrage,Carte vélo 15  permanent multiparc,CUBPK28
33075-P-007,Centre Commercial Meriadeck - Metpark,33063,Rue Claude Bonnier 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,1309,0,26,4,4,0,0,38,0,180,45333506900010,-0.584454,44.839085,,0.00,2.60,5.30,7.60,19.00,,,enclos_en_surface,ancien nom: BARRIERE DU MEDOC,CUBPK30
33075-P-008,Huit Mai 45 - Metpark,33063,Rue Jean Fleuret 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,453,0,10,4,4,0,0,26,0,180,45333506900010,-0.584889,44.835783,,2.00,4.10,5.70,7.30,18.00,,,ouvrage,Carte vélo 15  permanent multiparc,CUBPK34
33075-P-009,Gambetta - Metpark,33063,Rue Edmond Michelet 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,478,0,10,4,4,0,0,27,0,180,45333506900010,-0.583013,44.840065,,2.40,5.20,7.30,9.30,19.00,,,ouvrage,Carte vélo 15  permanent multiparc,CUBPK24
33075-P-010,Capucins - Geraud,33063,Place des Capucins 33800 Bordeaux,http://www.lacub.fr/circulation/parking-capucins,tous,0,270,0,6,0,0,0,0,20,0,190,45333506900010,-0.566336,44.829982,,2.00,3.50,4.50,6.00,18.00,,,ouvrage,,CUBPK19
33075-P-011,Camille Jullian - Indigo Park,33063,Place Camille Jullian - 33000 BORDEAUX,https://fr.parkindigo.com/parking/camille-jullian-33001400,tous,0,338,0,7,0,0,0,0,0,0,190,32022964405241,-0.572065,44.838927,,2.90,6.30,7.80,9.80,26.80,,,ouvrage,,CUBPK06
33075-P-012,Republique - Metpark,33063,Place de la République 33100 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,400,0,10,4,4,0,0,0,0,180,45333506900010,-0.579392,44.834978,,2.40,5.20,7.30,9.30,19.00,,,ouvrage,Carte vélo 15  permanent multiparc,CUBPK26
33075-P-013,Grands Hommes - Indigo Park,33063,Place des Grands Hommes- 33000 BORDEAUX,https://fr.parkindigo.com/parking/des-grands-hommes-33000400,tous,0,410,0,10,0,0,0,0,0,0,190,32022964405241,-0.577559,44.842991,,2.00,4.60,6.50,8.30,24.80,,,ouvrage,,CUBPK07
33075-P-014,Bourse - Jaures - Urbis Park,33063,Place Jean Jaures - 33000 BORDEAUX,https://www.urbispark.fr/parkings_et_voiries/bordeaux/bourse_jean_jaures,tous,0,1661,0,34,4,4,0,0,54,0,200,43161642400062,-0.569778,44.842299,,2.40,6.10,8.10,10.10,28.40,,,ouvrage,Abonnement gratuit pour les vélos,CUBPK02
33075-P-015,Salinieres,33063,12 Quais des Salinières - 33000 BORDEAUX,https://www.urbispark.fr/parkings_et_voiries/bordeaux/salinieres,tous,0,407,0,8,1,1,0,0,16,0,200,43161642400062,-0.564894,44.835657,,2.10,3.80,5.00,6.30,18.90,,,ouvrage,PARKING FERMÉ, suite sinistre,CUBPK05
33075-P-016,Cite Mondiale - Metpark,33063,20 Quai des Chartrons 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,847,0,15,4,4,0,0,0,0,180,45333506900010,-0.570498,44.849604,,2.40,5.20,7.30,9.30,19.00,,,ouvrage,,CUBPK27
33075-P-017,Gare Saint Jean - Metpark,33063,Rue Charles Domerq 33800 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,536,0,12,8,8,0,0,0,0,180,45333506900010,-0.557394,44.826176,,7.00,9.90,11.10,12.30,23.00,,,ouvrage,Autres tarifs arrêts minute,CUBPK33
33075-P-018,Porte De Bordeaux - Metpark,33063,48 rue du Général Larminat 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,521,84,7,6,6,0,0,10,0,180,45333506900010,-0.597662,44.832776,,2.00,4.10,5.70,7.30,18.00,,,ouvrage,Parc mixte avec places P+R abonnés,CUBPK35
33075-P-019,Megarama - Metpark,33063,Quai de Queyries 33100 Bordeaux,http://bordeaux.megarama.fr/FR/36/information-parking.html,tous,0,521,0,11,0,0,0,0,0,0,190,45333506900010,-0.560709,44.843055,,3.20,6.00,8.40,10.80,40.00,,,ouvrage,Abonnement 150 mensuel: lundi à vendredi 7h à 18h30,CUBPK79
33075-P-020,Allees De Chartres - Metpark,33063,Allées de Bristol 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,406,0,4,2,2,0,0,0,0,400,45333506900010,-0.573282,44.846769,,2.20,4.20,6.20,7.80,18.00,,,enclos_en_surface,11 places pour Autocars,CUBPK18
33075-P-021,Parc-Relais Stalingrad - Tbm Keolis,33063,Rue Letellier 33000 Bordeaux,https://www.infotbm.com/les-parc-relais-tout-public,tous,0,250,250,6,0,0,0,0,20,5,190,80822705200012,-0.557596,44.838209,,4.50,4.50,4.50,4.50,,,,enclos_en_surface,4,5 pour 1 à 5 passagers dans le VL,CUBPK55
33075-P-022,Parc-Relais Galin - Tbm Keolis,33063,Rue Gustave Eiffel 33100 Bordeaux,https://www.infotbm.com/les-parc-relais-tout-public,tous,0,404,404,8,0,0,0,0,36,5,190,80822705200012,-0.546535,44.849755,,4.50,4.50,4.50,4.50,,,,enclos_en_surface,4,5 pour 1 à 5 passagers dans le VL,CUBPK48
33075-P-023,Bergonie - Metpark,33063,Cours de l'Argonne 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,66,0,0,0,0,0,0,0,0,180,45333506900010,-0.57969,44.824048,,2.00,6.00,10.00,14.00,22.00,,,ouvrage,Abonnés seulement,CUBPK36
33075-P-024,Nicolas Beaujon - Metpark,33063,Impasse des Cossus 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,92,0,2,2,2,0,0,0,0,195,45333506900010,-0.592906,44.853807,,2.40,5.20,7.30,9.30,19.00,,,ouvrage,Carte vélo 15  permanent multiparc,CUBPK73
33075-P-025,Paludate - Saint Jean - Metpark,33063,Rue Terres de Borde 33800 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,tous,0,566,0,12,4,4,0,0,23,0,240,45333506900010,-0.553585,44.829201,,2.40,5.20,7.30,9.30,19.00,,,ouvrage,ouverture le 31 mars 2017, Carte vélo 15  permanent multiparc,CUBPK78
33075-P-026,Parc-Relais Les Aubiers - Tbm Keolis,33063,Rue du jonc 33000 Bordeaux,https://www.infotbm.com/les-parc-relais-tout-public,tous,0,234,234,5,0,0,0,0,40,5,220,80822705200012,-0.575572,44.873447,,4.50,4.50,4.50,4.50,,,,ouvrage,4,5 pour 1 à 5 passagers dans le VL,CUBPK52
33075-P-027,Croix De Seguey - Metpark,33063,Rue Croix de Seguey 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,abonnés,1,51,0,2,0,0,0,0,0,0,180,45333506900010,-0.589283,44.851795,,,,,,,,,enclos_en_surface,Abonnés seulement,CUBPK37
33075-P-028,Lhote - Metpark,33063,Rue Lhote 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,abonnés,1,113,0,3,1,1,0,0,4,0,180,45333506900010,-0.578979,44.845197,,,,,,,,,ouvrage,Résidents seulement,CUBPK32
33075-P-029,Alsace Lorraine - Metpark,33063,11 rue Alsace Lorraine 33000 Bordeaux,http://www.parcub.com/pages/parkings_liste.html,abonnés,1,125,0,0,0,0,0,0,0,0,180,45333506900010,-0.568629,44.838123,,,,,,,,,ouvrage,,CUBPK17
33075-P-030,Parc-Relais Brandenburg - Tbm Keolis,33063,Boulevard Albert Brandenburg 33000 Bordeaux,https://www.infotbm.com/les-parc-relais-tout-public,tous,0,206,206,6,0,0,0,0,20,5,210,80822705200012,-0.544377,44.875521,,3.10,3.10,3.10,3.10,,,,enclos_en_surface,3,1 conducteur seul, 4 pour 2 à 5 personnes dans VL,CUBPK44
33075-P-031,Quai Des Marques - Qpark,33063,Quai des Chartrons 33000 Bordeaux,https://www.q-park.fr/fr/se-garer-chez-q-park/parkings-par-ville/bordeaux/parking-quai-des-marques,tous,0,393,0,23,0,0,0,0,10,0,100,37888823401562,-0.561878,44.856142,,2.80,6.10,8.20,11.60,30.00,,,ouvrage,,CUBPK14
